T-4,T-3,T-2,T-1,T-0,T-0
0.182531993,-0.089330499,0.133911883,-0.025671966,-0.152639276,-0.075373575
-0.089330499,0.133911883,-0.025671966,-0.152639276,-0.068368189,-0.061951892
0.133911883,-0.025671966,-0.152639276,-0.068368189,-0.246291537,-0.166161781
-0.025671966,-0.152639276,-0.068368189,-0.246291537,-0.270860887,-0.214647236
-0.152639276,-0.068368189,-0.246291537,-0.270860887,-0.543071427,-0.408347662
-0.068368189,-0.246291537,-0.270860887,-0.543071427,-0.46351997,-0.453881145
-0.246291537,-0.270860887,-0.543071427,-0.46351997,-0.441541646,-0.46534594
-0.270860887,-0.543071427,-0.46351997,-0.441541646,-0.33794233,-0.490993783
-0.543071427,-0.46351997,-0.441541646,-0.33794233,-0.486695566,-0.502727785
-0.46351997,-0.441541646,-0.33794233,-0.486695566,-0.445045551,-0.532370866
-0.441541646,-0.33794233,-0.486695566,-0.445045551,-0.55727664,-0.55539583
-0.33794233,-0.486695566,-0.445045551,-0.55727664,-0.596050057,-0.577847088
-0.486695566,-0.445045551,-0.55727664,-0.596050057,-0.815338918,-0.602497151
-0.445045551,-0.55727664,-0.596050057,-0.815338918,-0.602921509,-0.616235515
-0.55727664,-0.596050057,-0.815338918,-0.602921509,-0.589644371,-0.686619259
-0.596050057,-0.815338918,-0.602921509,-0.589644371,-0.785078203,-0.791536422
-0.815338918,-0.602921509,-0.589644371,-0.785078203,-0.727144637,-0.787785499
-0.602921509,-0.589644371,-0.785078203,-0.727144637,-0.908985629,-0.783846125
-0.589644371,-0.785078203,-0.727144637,-0.908985629,-0.761642742,-0.783846125
-0.785078203,-0.727144637,-0.908985629,-0.761642742,-0.700668062,-0.783846125
-0.727144637,-0.908985629,-0.761642742,-0.700668062,-0.995617375,-0.783846125
-0.908985629,-0.761642742,-0.700668062,-0.995617375,-0.751099801,-0.783846125
-0.761642742,-0.700668062,-0.995617375,-0.751099801,-0.86343749,-0.783846125
-0.700668062,-0.995617375,-0.751099801,-0.86343749,-0.798704767,-0.783318979
-0.995617375,-0.751099801,-0.86343749,-0.798704767,-0.833448977,-0.777038751
-0.751099801,-0.86343749,-0.798704767,-0.833448977,-0.792357004,-0.798212322
-0.86343749,-0.798704767,-0.833448977,-0.792357004,-0.924604099,-0.841951298
-0.798704767,-0.833448977,-0.792357004,-0.924604099,-1.039645457,-0.841951298
-0.833448977,-0.792357004,-0.924604099,-1.039645457,-1.086914513,-0.912326021
-0.792357004,-0.924604099,-1.039645457,-1.086914513,-1.086870808,-0.888868253
