T-4,T-3,T-2,T-1,T-0,Effort
-3.243249515,-3.67186805,-3.138194063,-3.610405831,-3.835775473,-2.565507473
-3.67186805,-3.138194063,-3.610405831,-3.835775473,-4.044822092,-2.565507473
-3.138194063,-3.610405831,-3.835775473,-4.044822092,-5.094684284,-2.981080652
-3.610405831,-3.835775473,-4.044822092,-5.094684284,-5.706780307,-2.861232903
-3.835775473,-4.044822092,-5.094684284,-5.706780307,-5.069564705,-2.99037551
-4.044822092,-5.094684284,-5.706780307,-5.069564705,-4.825603763,-2.99037551
-5.094684284,-5.706780307,-5.069564705,-4.825603763,-5.456111058,-3.341870695
-5.706780307,-5.069564705,-4.825603763,-5.456111058,-5.974262837,-3.341870695
-5.069564705,-4.825603763,-5.456111058,-5.974262837,-4.460935665,-3.182801171
-4.825603763,-5.456111058,-5.974262837,-4.460935665,-5.091863852,-3.182801171
-5.456111058,-5.974262837,-4.460935665,-5.091863852,-5.720249986,-3.569965031
-5.974262837,-4.460935665,-5.091863852,-5.720249986,-5.139820085,-3.512578772
-4.460935665,-5.091863852,-5.720249986,-5.139820085,-5.162926567,-3.447085933
-5.091863852,-5.720249986,-5.139820085,-5.162926567,-4.999684522,-3.447085933
-5.720249986,-5.139820085,-5.162926567,-4.999684522,-6.41049569,-3.447085933
-5.139820085,-5.162926567,-4.999684522,-6.41049569,-6.048571462,-3.447085933
-5.162926567,-4.999684522,-6.41049569,-6.048571462,-5.397016086,-3.705624532
-4.999684522,-6.41049569,-6.048571462,-5.397016086,-5.869102357,-3.705624532
-6.41049569,-6.048571462,-5.397016086,-5.869102357,-4.789107037,-3.683175325
-6.048571462,-5.397016086,-5.869102357,-4.789107037,-7.099351522,-3.949605429
-5.397016086,-5.869102357,-4.789107037,-7.099351522,-5.595814452,-3.949605429
-5.869102357,-4.789107037,-7.099351522,-5.595814452,-5.149929218,-3.949605429
-4.789107037,-7.099351522,-5.595814452,-5.149929218,-5.075042379,-3.949605429
-7.099351522,-5.595814452,-5.149929218,-5.075042379,-5.564264851,-3.949605429
-5.595814452,-5.149929218,-5.075042379,-5.564264851,-3.787935238,-3.63614425
-5.149929218,-5.075042379,-5.564264851,-3.787935238,-4.095288289,-3.63614425
-5.075042379,-5.564264851,-3.787935238,-4.095288289,-2.903723348,-3.644567113
-5.564264851,-3.787935238,-4.095288289,-2.903723348,-3.897893236,-3.644567113
-3.787935238,-4.095288289,-2.903723348,-3.897893236,-3.364710782,-3.644567113
-4.095288289,-2.903723348,-3.897893236,-3.364710782,-3.500818396,-3.703936432
-2.903723348,-3.897893236,-3.364710782,-3.500818396,-3.856599707,-3.703936432
-3.897893236,-3.364710782,-3.500818396,-3.856599707,-4.105153949,-3.703936432
-3.364710782,-3.500818396,-3.856599707,-4.105153949,-3.473538853,-3.703936432
-3.500818396,-3.856599707,-4.105153949,-3.473538853,-3.879940948,-3.703936432
-3.856599707,-4.105153949,-3.473538853,-3.879940948,-3.525991049,-3.703936432
-4.105153949,-3.473538853,-3.879940948,-3.525991049,-3.154224448,-3.703936432
-3.473538853,-3.879940948,-3.525991049,-3.154224448,-2.658703333,-3.08906533
-3.879940948,-3.525991049,-3.154224448,-2.658703333,-3.138417635,-3.08906533
-3.525991049,-3.154224448,-2.658703333,-3.138417635,-2.758872886,-2.805818819
-3.154224448,-2.658703333,-3.138417635,-2.758872886,-2.63957407,-2.805818819
-2.658703333,-3.138417635,-2.758872886,-2.63957407,-4.413946545,-2.805818819
-3.138417635,-2.758872886,-2.63957407,-4.413946545,-3.515052932,-2.805818819
-2.758872886,-2.63957407,-4.413946545,-3.515052932,-3.010777532,-2.294818775
-2.63957407,-4.413946545,-3.515052932,-3.010777532,-3.77227039,-2.294818775
-4.413946545,-3.515052932,-3.010777532,-3.77227039,-3.80994871,-2.047856731
-3.515052932,-3.010777532,-3.77227039,-3.80994871,-2.959475793,-2.047856731
